site_id,round,model,loading,graph,articles,visual,interaction,total,graph_success,failures,evidence
r1-deepseek-v4-pro,r1,DeepSeek V4 Pro,2.7,6,0,4.5,4,17.2,no,home-entry;graph-route;article-list;article-detail-shell;weak-visual-system,"r1 DeepSeek V4 Pro: root index missing; /:200 /graph/:404 /articles/:404 /articles/050/:404 /articles/080/:404 /articles/103/:404; graph showed no reliable render evidence; articles list links=0, detail lengths=119/119/119; css vars=0, media=yes, search=yes."
r1-kimi-k2.7-code,r1,Kimi K2.7-code,15,35,15,20,15,100,yes,,"r1 Kimi K2.7-code: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4315/1330/4383; css vars=19, media=yes, search=yes."
r1-qwen3.7-max,r1,Qwen 3.7 Max,15,29,15,8,6.5,73.5,yes,weak-visual-system,"r1 Qwen 3.7 Max: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=3977/1300/3850; css vars=0, media=yes, search=yes."
r1-glm-x-preview,r1,GLM 5.2,15,26,15,18.5,15,89.5,no,graph-partial-or-blank,"r1 GLM 5.2: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=104, detail lengths=4293/1316/4061; css vars=25, media=yes, search=yes."
r1-minimax-m3,r1,MiniMax M3,13.5,26,15,20,15,89.5,no,graph-partial-or-blank,"r1 MiniMax M3: served from site/; /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=106, detail lengths=4282/1372/4888; css vars=21, media=yes, search=yes."
r1-claude-opus-4-8,r1,Claude Opus 4.8,15,26,15,20,15,91,no,graph-partial-or-blank,"r1 Claude Opus 4.8: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=106, detail lengths=4702/1413/4214; css vars=20, media=yes, search=yes."
r2-deepseek-v4-pro,r2,DeepSeek V4 Pro,15,29,15,18.5,9,86.5,yes,,"r2 DeepSeek V4 Pro: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (1 canvas, 0 svg); articles list links=105, detail lengths=4121/1302/3857; css vars=14, media=yes, search=yes."
r2-kimi-k2.7-code,r2,Kimi K2.7-code,15,35,15,17.5,12.5,95,yes,,"r2 Kimi K2.7-code: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4696/1617/5868; css vars=16, media=yes, search=yes."
r2-qwen3.7-max,r2,Qwen 3.7 Max,15,35,9,18.5,15,92.5,yes,article-detail-shell,"r2 Qwen 3.7 Max: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=164/153/139; css vars=14, media=yes, search=yes."
r2-glm-x-preview,r2,GLM 5.2,15,26,15,20,15,91,no,graph-partial-or-blank,"r2 GLM 5.2: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 1 svg); articles list links=104, detail lengths=3970/1334/4150; css vars=23, media=yes, search=yes."
r2-minimax-m3,r2,MiniMax M3,15,33,15,20,13,96,yes,,"r2 MiniMax M3: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (1 canvas, 0 svg); articles list links=106, detail lengths=5135/1713/6274; css vars=20, media=yes, search=yes."
r2-claude-opus-4-8,r2,Claude Opus 4.8,15,24,15,20,13,87,no,graph-partial-or-blank,"r2 Claude Opus 4.8: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=105, detail lengths=4245/1359/4162; css vars=21, media=yes, search=yes."
r3-deepseek-v4-pro,r3,DeepSeek V4 Pro,15,20,15,8,9,67,no,graph-partial-or-blank;weak-visual-system,"r3 DeepSeek V4 Pro: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=104, detail lengths=4108/1289/3844; css vars=0, media=yes, search=yes."
r3-kimi-k2.7-code,r3,Kimi K2.7-code,15,29,15,19,9,87,yes,,"r3 Kimi K2.7-code: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4179/1360/3909; css vars=18, media=yes, search=yes."
r3-qwen3.7-max,r3,Qwen 3.7 Max,15,29,15,15.8,9,83.8,yes,,"r3 Qwen 3.7 Max: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4070/1267/3820; css vars=9, media=yes, search=yes."
r3-glm-x-preview,r3,GLM 5.2,15,26,15,18.5,15,89.5,no,graph-partial-or-blank,"r3 GLM 5.2: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=104, detail lengths=4289/1394/4173; css vars=21, media=yes, search=yes."
r3-minimax-m3,r3,MiniMax M3,15,16,5,18.5,15,69.5,no,graph-blank;article-list;article-detail-shell,"r3 MiniMax M3: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph showed no reliable render evidence; articles list links=0, detail lengths=0/0/0; css vars=32, media=yes, search=yes."
r3-claude-opus-4-8,r3,Claude Opus 4.8,15,20,15,8,9,67,no,graph-partial-or-blank;weak-visual-system,"r3 Claude Opus 4.8: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=105, detail lengths=4180/1365/3941; css vars=0, media=yes, search=yes."
r4-deepseek-v4-pro,r4,DeepSeek V4 Pro,15,26,15,6.5,12.5,75,no,graph-partial-or-blank;weak-visual-system,"r4 DeepSeek V4 Pro: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=104, detail lengths=4166/1335/3882; css vars=0, media=yes, search=yes."
r4-kimi-k2.7-code,r4,Kimi K2.7-code,15,10,15,7.5,9,56.5,no,graph-blank;weak-visual-system,"r4 Kimi K2.7-code: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph showed no reliable render evidence; articles list links=104, detail lengths=4208/1366/4656; css vars=0, media=yes, search=yes."
r4-qwen3.7-max,r4,Qwen 3.7 Max,15,35,15,17.5,15,97.5,yes,,"r4 Qwen 3.7 Max: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4160/1334/3879; css vars=22, media=yes, search=yes."
r4-glm-x-preview,r4,GLM 5.2,15,26,15,20,15,91,no,graph-partial-or-blank,"r4 GLM 5.2: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph had only partial/structural evidence (1 canvas, 0 svg); articles list links=104, detail lengths=4449/1570/4208; css vars=19, media=yes, search=yes."
r4-minimax-m3,r4,MiniMax M3,15,35,15,20,15,100,yes,,"r4 MiniMax M3: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=105, detail lengths=4813/1500/4213; css vars=26, media=yes, search=yes."
r4-claude-opus-4-8,r4,Claude Opus 4.8,15,35,15,20,15,100,yes,,"r4 Claude Opus 4.8: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=105, detail lengths=4250/1360/4139; css vars=17, media=yes, search=yes."
r5-deepseek-v4-pro,r5,DeepSeek V4 Pro,15,35,15,17.5,12.5,95,yes,,"r5 DeepSeek V4 Pro: /:200 /graph/:200 /articles/:200 /articles/050/:200 /articles/080/:200 /articles/103/:200; graph rendered (0 canvas, 1 svg); articles list links=104, detail lengths=4124/1305/3854; css vars=17, media=yes, search=yes."
