rank,round,model,port,score,grade,old_total,loading,graph_old25,articles_old25,visual,interaction,evidence
1,r6,Doubao,8371,100,A,100,15,25,25,20,15,"core routes load; graph rendered (1 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=17, purple=yes, mobileOverflow=no."
2,r1,Opus 4.8,8351,98,A,98,15,25,25,18,15,"core routes load; graph rendered (1 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=20, purple=no, mobileOverflow=no."
3,r5,DeepSeek,8316,96,A,96,15,25,25,16,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=17, purple=no, mobileOverflow=no."
4,r4,Doubao,8367,96,A,96,15,25,25,16,15,"core routes load; graph rendered (1 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=19, purple=no, mobileOverflow=no."
5,r9,Doubao,8377,96,A,96,15,25,25,16,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=27, purple=no, mobileOverflow=no."
6,r4,MiniMax,8344,95.8,A,97,15,22,25,20,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=26, purple=yes, overflow=no."
7,r9,Opus 4.8,8359,94.6,A,95,15,24,25,18,13,"core routes load; graph rendered (1 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=12, purple=yes, mobileOverflow=no."
8,r2,Kimi,8305,93.8,A,95,15,22,25,18,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=16, purple=yes, mobileOverflow=no."
9,r4,Qwen,8314,93.8,A,95,15,22,25,18,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=21, purple=yes, mobileOverflow=no."
10,r5,Qwen,8318,93.8,A,95,15,22,25,18,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=16, purple=yes, mobileOverflow=no."
