rank,round,model,runner,port,score,grade,old_total,loading,graph_old25,articles_old25,visual,interaction,evidence
1,r1,Opus 4.8,historical-local,8351,98,A,98,15,25,25,18,15,"core routes load; graph rendered (1 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=20, purple=no, mobileOverflow=no."
2,r5,DeepSeek,historical-local,8316,96,A,96,15,25,25,16,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=17, purple=no, mobileOverflow=no."
3,r4,MiniMax,historical-local,8344,95.8,A,97,15,22,25,20,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=26, purple=yes, overflow=no."
4,r9,Opus 4.8,historical-local,8359,94.6,A,95,15,24,25,18,13,"core routes load; graph rendered (1 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=12, purple=yes, mobileOverflow=no."
5,r2,Kimi,historical-local,8305,93.8,A,95,15,22,25,18,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=16, purple=yes, mobileOverflow=no."
6,r4,Qwen,historical-local,8314,93.8,A,95,15,22,25,18,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=21, purple=yes, mobileOverflow=no."
7,r5,Qwen,historical-local,8318,93.8,A,95,15,22,25,18,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=16, purple=yes, mobileOverflow=no."
8,r7,Kimi,historical-local,8325,93.8,A,95,15,22,25,18,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=15, purple=yes, mobileOverflow=no."
9,r7,Qwen,historical-local,8326,93.8,A,95,15,22,25,18,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=21, purple=yes, mobileOverflow=no."
10,r9,Qwen,historical-local,8334,93.8,A,95,15,22,25,18,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=13, purple=no, mobileOverflow=no."
11,r10,GLM,historical-local,8339,93.8,A,95,15,22,25,18,15,"core routes load; graph rendered (1 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=20, purple=no, mobileOverflow=no."
12,r2,MiniMax,historical-local,8342,93.8,A,95,15,22,25,18,15,"core routes load; graph rendered (1 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=20, purple=no, overflow=no."
13,r4,Opus 4.8,historical-local,8354,93.8,A,95,15,22,25,18,15,"core routes load; graph rendered (0 canvas, 1 rich svg); article list and sampled full text pass; visual signals: cssVars=17, purple=no, mobileOverflow=no."
14,r4,GLM,historical-local,8315,93,A,95,15,20,25,20,15,"core routes load; graph rendered (1 canvas, 0 rich svg); article list and sampled full text pass; visual signals: cssVars=19, purple=yes, mobileOverflow=no."
