site_id,round,model_slug,model_name,runner,runner_config,model_invocation,prompt_sha256,prompt_file,command_template,primary_log_recorded,start_at,end_at,exit_code,retry_note
r1-deepseek-v4-pro,r1,deepseek-v4-pro,DeepSeek V4 Pro,opencode local shell,opencode-default-provider,deepseek-v4-pro,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:deepseek.log,,,,
r1-kimi-k2.7-code,r1,kimi-k2.7-code,Kimi K2.7-code,opencode local shell,opencode-default-provider,kimi-k2.7-code,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:kimi.log,,,,
r1-qwen3.7-max,r1,qwen3.7-max,Qwen 3.7 Max,opencode local shell,opencode-default-provider,qwen3.7-max,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:qwen.log,,,,
r1-glm-x-preview,r1,glm-x-preview,GLM 5.2,opencode local shell,opencode-default-provider,glm-x-preview,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:glm.log,,,,
r1-minimax-m3,r1,minimax-m3,MiniMax M3,opencode local shell,opencode-minimax-provider,minimax-m3,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:minimax.log,,,,
r1-claude-opus-4-8,r1,claude-opus-4-8,Claude Opus 4.8,opencode local shell,opencode-anthropic-provider,anthropic/claude-opus-4-8,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:opus-4-8.log,2026-06-15T22:36:02+08:00,2026-06-15T22:43:48+08:00,0,
r2-deepseek-v4-pro,r2,deepseek-v4-pro,DeepSeek V4 Pro,opencode local shell,opencode-default-provider,deepseek-v4-pro,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:deepseek.log,,,,
r2-kimi-k2.7-code,r2,kimi-k2.7-code,Kimi K2.7-code,opencode local shell,opencode-default-provider,kimi-k2.7-code,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:kimi.log,,,,
r2-qwen3.7-max,r2,qwen3.7-max,Qwen 3.7 Max,opencode local shell,opencode-default-provider,qwen3.7-max,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:qwen.log,,,,
r2-glm-x-preview,r2,glm-x-preview,GLM 5.2,opencode local shell,opencode-default-provider,glm-x-preview,db10431344850b44bb044ecfdf749716fb62c097b389c2d0406f5cb32dbb7ea7,prompts/refactor-prompt.redacted.md,opencode run -m <MODEL> --dangerously-skip-permissions -f <PROMPT_FILE>,local-log-redacted:glm.log,,,,
